"District","Year","Grade","grade","DisCode","Subject","ME_n","ME_per","E_n","E_per","M_n","M_per","PM_n","PM_per","NM_n","NM_per","n_included","mean_SS","SGP","n_included_SGP"
"Brimfield",2017,3,"Grade 3","00430000","ELA",29,76,2,5,27,71,8,21,1,3,38,506.5,NA,NA
"Brimfield",2017,3,"Grade 3","00430000","MATH",22,59,4,11,18,49,14,38,1,3,37,506.3,NA,NA
"Brockton",2017,3,"Grade 3","00440000","ELA",301,23,15,1,286,22,699,54,303,23,1303,485.3,NA,NA
"Brockton",2017,3,"Grade 3","00440000","MATH",341,26,18,1,323,25,627,48,338,26,1306,485.1,NA,NA
"Brooke Charter School (District)",2017,3,"Grade 3","04280000","ELA",103,54,11,6,92,48,80,42,9,5,192,501.6,NA,NA
"Brooke Charter School (District)",2017,3,"Grade 3","04280000","MATH",129,68,22,12,107,56,55,29,7,4,191,506.8,NA,NA
"Brookfield",2017,3,"Grade 3","00450000","ELA",24,63,6,16,18,47,11,29,3,8,38,509.2,NA,NA
"Brookfield",2017,3,"Grade 3","00450000","MATH",17,45,4,11,13,34,16,42,5,13,38,502,NA,NA
"Brookline",2017,3,"Grade 3","00460000","ELA",354,59,69,12,285,48,205,34,36,6,595,504.7,NA,NA
"Brookline",2017,3,"Grade 3","00460000","MATH",388,65,84,14,304,51,155,26,52,9,595,506.7,NA,NA
"Burlington",2017,3,"Grade 3","00480000","ELA",130,55,15,6,115,48,97,41,11,5,238,502.4,NA,NA
"Burlington",2017,3,"Grade 3","00480000","MATH",145,61,36,15,109,46,81,34,11,5,237,506.7,NA,NA
"Cambridge",2017,3,"Grade 3","00490000","ELA",261,54,76,16,185,38,188,39,33,7,482,503.7,NA,NA
"Cambridge",2017,3,"Grade 3","00490000","MATH",256,53,58,12,198,41,175,36,50,10,481,502.3,NA,NA
"Canton",2017,3,"Grade 3","00500000","ELA",177,65,28,10,149,54,90,33,7,3,274,506.6,NA,NA
"Canton",2017,3,"Grade 3","00500000","MATH",202,73,26,9,176,64,62,22,12,4,276,508.6,NA,NA
"Carlisle",2017,3,"Grade 3","00510000","ELA",52,72,10,14,42,58,20,28,0,0,72,509.2,NA,NA
"Carlisle",2017,3,"Grade 3","00510000","MATH",57,79,9,13,48,67,14,19,1,1,72,511.1,NA,NA
"Carver",2017,3,"Grade 3","00520000","ELA",58,48,4,3,54,44,58,48,6,5,122,499.4,NA,NA
"Carver",2017,3,"Grade 3","00520000","MATH",64,52,8,7,56,46,45,37,13,11,122,500,NA,NA
"Central Berkshire",2017,3,"Grade 3","06350000","ELA",36,36,1,1,35,35,54,55,9,9,99,493.6,NA,NA
"Central Berkshire",2017,3,"Grade 3","06350000","MATH",47,47,5,5,42,42,37,37,15,15,99,496.2,NA,NA
"Chelmsford",2017,3,"Grade 3","00560000","ELA",252,64,58,15,194,50,120,31,19,5,391,507.8,NA,NA
"Chelmsford",2017,3,"Grade 3","00560000","MATH",253,65,48,12,205,53,113,29,24,6,390,506.7,NA,NA
"Chelsea",2017,3,"Grade 3","00570000","ELA",170,28,13,2,157,26,334,56,97,16,601,489.7,NA,NA
"Chelsea",2017,3,"Grade 3","00570000","MATH",241,40,39,7,202,34,258,43,101,17,600,494.3,NA,NA
"Chesterfield-Goshen",2017,3,"Grade 3","06320000","ELA",8,57,3,21,5,36,6,43,0,0,14,504.6,NA,NA
"Chesterfield-Goshen",2017,3,"Grade 3","06320000","MATH",7,50,2,14,5,36,7,50,0,0,14,502.9,NA,NA
"Chicopee",2017,3,"Grade 3","00610000","ELA",249,44,35,6,214,38,256,45,65,11,570,498.3,NA,NA
"Chicopee",2017,3,"Grade 3","00610000","MATH",298,52,31,5,267,47,219,38,52,9,569,502,NA,NA
"Clarksburg",2017,3,"Grade 3","00630000","ELA",18,58,2,6,16,52,13,42,0,0,31,504.2,NA,NA
"Clarksburg",2017,3,"Grade 3","00630000","MATH",22,71,1,3,21,68,9,29,0,0,31,505.7,NA,NA
"Clinton",2017,3,"Grade 3","00640000","ELA",69,37,12,6,57,31,99,54,17,9,185,493.8,NA,NA
"Clinton",2017,3,"Grade 3","00640000","MATH",56,30,5,3,51,27,90,48,41,22,187,489,NA,NA
"Codman Academy Charter Public (District)",2017,3,"Grade 3","04380000","ELA",2,10,0,0,2,10,13,62,6,29,21,479,NA,NA
"Codman Academy Charter Public (District)",2017,3,"Grade 3","04380000","MATH",0,0,0,0,0,0,13,62,8,38,21,478,NA,NA
"Cohasset",2017,3,"Grade 3","00650000","ELA",77,56,16,12,61,44,57,41,4,3,138,504.2,NA,NA
"Cohasset",2017,3,"Grade 3","00650000","MATH",87,63,5,4,82,59,44,32,7,5,138,503.9,NA,NA
"Collegiate Charter School of Lowell (District)",2017,3,"Grade 3","35030000","ELA",50,42,2,2,48,40,52,44,17,14,119,493.5,NA,NA
"Collegiate Charter School of Lowell (District)",2017,3,"Grade 3","35030000","MATH",33,28,4,3,29,25,62,53,23,19,118,488.7,NA,NA
"Community Day Charter Public School - Gateway (District)",2017,3,"Grade 3","04260000","ELA",25,66,7,18,18,47,12,32,1,3,38,509.4,NA,NA
"Community Day Charter Public School - Gateway (District)",2017,3,"Grade 3","04260000","MATH",28,74,6,16,22,58,9,24,1,3,38,511.5,NA,NA
"Community Day Charter Public School - Prospect (District)",2017,3,"Grade 3","04400000","ELA",31,65,8,17,23,48,13,27,4,8,48,505.1,NA,NA
"Community Day Charter Public School - Prospect (District)",2017,3,"Grade 3","04400000","MATH",38,79,3,6,35,73,8,17,2,4,48,509.1,NA,NA
"Community Day Charter Public School - R. Kingman Webster (District)",2017,3,"Grade 3","04310000","ELA",31,74,5,12,26,62,9,21,2,5,42,507.6,NA,NA
"Community Day Charter Public School - R. Kingman Webster (District)",2017,3,"Grade 3","04310000","MATH",33,79,4,10,29,69,8,19,1,2,42,508.5,NA,NA
"Concord",2017,3,"Grade 3","00670000","ELA",197,77,61,24,136,53,52,20,8,3,257,514.9,NA,NA
"Concord",2017,3,"Grade 3","00670000","MATH",202,79,51,20,151,59,46,18,9,4,257,513.7,NA,NA
"Conservatory Lab Charter (District)",2017,3,"Grade 3","04390000","ELA",18,36,2,4,16,32,24,48,8,16,50,492.6,NA,NA
"Conservatory Lab Charter (District)",2017,3,"Grade 3","04390000","MATH",20,40,3,6,17,34,21,42,9,18,50,491.7,NA,NA
"Conway",2017,3,"Grade 3","00680000","ELA",7,47,1,7,6,40,8,53,0,0,15,497.2,NA,NA
"Conway",2017,3,"Grade 3","00680000","MATH",10,67,1,7,9,60,5,33,0,0,15,505.9,NA,NA
"Danvers",2017,3,"Grade 3","00710000","ELA",127,46,20,7,107,39,133,48,15,5,275,500,NA,NA
"Danvers",2017,3,"Grade 3","00710000","MATH",154,56,21,8,133,48,108,39,13,5,275,504.4,NA,NA
"Dartmouth",2017,3,"Grade 3","00720000","ELA",124,51,14,6,110,45,108,44,11,5,243,499.8,NA,NA
"Dartmouth",2017,3,"Grade 3","00720000","MATH",123,51,16,7,107,44,102,42,17,7,242,499.2,NA,NA
"Dedham",2017,3,"Grade 3","00730000","ELA",106,48,10,5,96,44,105,48,9,4,220,499.6,NA,NA
"Dedham",2017,3,"Grade 3","00730000","MATH",118,54,11,5,107,49,85,39,17,8,220,501.9,NA,NA
"Deerfield",2017,3,"Grade 3","00740000","ELA",29,54,2,4,27,50,23,43,2,4,54,498.4,NA,NA
"Deerfield",2017,3,"Grade 3","00740000","MATH",16,30,1,2,15,28,28,52,10,19,54,490.9,NA,NA
"Dennis-Yarmouth",2017,3,"Grade 3","06450000","ELA",66,25,6,2,60,23,149,56,49,19,264,488.2,NA,NA
"Dennis-Yarmouth",2017,3,"Grade 3","06450000","MATH",99,37,6,2,93,35,122,46,45,17,266,491.7,NA,NA
"Dighton-Rehoboth",2017,3,"Grade 3","06500000","ELA",122,53,10,4,112,49,97,42,11,5,230,499.8,NA,NA
"Dighton-Rehoboth",2017,3,"Grade 3","06500000","MATH",136,59,14,6,122,53,77,33,17,7,230,502,NA,NA
"Douglas",2017,3,"Grade 3","00770000","ELA",49,62,13,16,36,46,27,34,3,4,79,508.7,NA,NA
"Douglas",2017,3,"Grade 3","00770000","MATH",43,54,6,8,37,47,29,37,7,9,79,505.1,NA,NA
"Dover",2017,3,"Grade 3","00780000","ELA",59,70,12,14,47,56,24,29,1,1,84,509.3,NA,NA
"Dover",2017,3,"Grade 3","00780000","MATH",72,86,21,25,51,61,10,12,2,2,84,516.7,NA,NA
"Dracut",2017,3,"Grade 3","00790000","ELA",142,45,16,5,126,40,148,47,23,7,313,498.4,NA,NA
"Dracut",2017,3,"Grade 3","00790000","MATH",135,43,9,3,126,40,150,48,28,9,313,496,NA,NA
"Dudley Street Neighborhood Charter School (District)",2017,3,"Grade 3","04070000","ELA",15,35,1,2,14,33,17,40,11,26,43,486.4,NA,NA
"Dudley Street Neighborhood Charter School (District)",2017,3,"Grade 3","04070000","MATH",8,19,0,0,8,19,21,49,14,33,43,479.4,NA,NA
"Dudley-Charlton Reg",2017,3,"Grade 3","06580000","ELA",161,53,29,10,132,44,123,41,19,6,303,501.7,NA,NA
"Dudley-Charlton Reg",2017,3,"Grade 3","06580000","MATH",148,49,12,4,136,45,133,44,22,7,303,499,NA,NA
"Duxbury",2017,3,"Grade 3","00820000","ELA",137,61,19,8,118,53,82,37,5,2,224,504.9,NA,NA
"Duxbury",2017,3,"Grade 3","00820000","MATH",143,63,24,11,119,53,74,33,9,4,226,507.5,NA,NA
"East Bridgewater",2017,3,"Grade 3","00830000","ELA",90,55,13,8,77,47,64,39,11,7,165,502.8,NA,NA
"East Bridgewater",2017,3,"Grade 3","00830000","MATH",62,37,6,4,56,34,90,54,14,8,166,495.9,NA,NA
"East Longmeadow",2017,3,"Grade 3","00870000","ELA",112,56,16,8,96,48,73,37,14,7,199,502.9,NA,NA
"East Longmeadow",2017,3,"Grade 3","00870000","MATH",115,58,14,7,101,51,76,38,8,4,199,503.7,NA,NA
"Eastham",2017,3,"Grade 3","00850000","ELA",15,63,2,8,13,54,8,33,1,4,24,504.1,NA,NA
"Eastham",2017,3,"Grade 3","00850000","MATH",14,58,0,0,14,58,7,29,3,13,24,501.7,NA,NA
"Easthampton",2017,3,"Grade 3","00860000","ELA",31,30,2,2,29,28,56,55,15,15,102,489.6,NA,NA
"Easthampton",2017,3,"Grade 3","00860000","MATH",45,45,4,4,41,41,40,40,16,16,101,496.9,NA,NA
"Easton",2017,3,"Grade 3","00880000","ELA",166,66,28,11,138,55,78,31,7,3,251,505.9,NA,NA
"Easton",2017,3,"Grade 3","00880000","MATH",164,66,21,8,143,57,77,31,9,4,250,506.7,NA,NA
"Edgartown",2017,3,"Grade 3","00890000","ELA",20,48,2,5,18,43,19,45,3,7,42,501,NA,NA
"Edgartown",2017,3,"Grade 3","00890000","MATH",15,35,0,0,15,35,24,56,4,9,43,493.6,NA,NA
"Erving",2017,3,"Grade 3","00910000","ELA",5,29,0,0,5,29,10,59,2,12,17,490.9,NA,NA
"Erving",2017,3,"Grade 3","00910000","MATH",4,24,0,0,4,24,11,65,2,12,17,488.6,NA,NA
"Everett",2017,3,"Grade 3","00930000","ELA",176,34,19,4,157,31,250,49,87,17,513,492.9,NA,NA
"Everett",2017,3,"Grade 3","00930000","MATH",190,37,13,3,177,35,232,45,90,18,512,492.5,NA,NA
"Fairhaven",2017,3,"Grade 3","00940000","ELA",83,55,17,11,66,44,59,39,9,6,151,503.3,NA,NA
"Fairhaven",2017,3,"Grade 3","00940000","MATH",75,50,11,7,64,42,56,37,20,13,151,499.1,NA,NA
"Fall River",2017,3,"Grade 3","00950000","ELA",319,34,41,4,278,29,437,46,191,20,947,491,NA,NA
"Fall River",2017,3,"Grade 3","00950000","MATH",322,34,47,5,275,29,415,44,214,23,951,490.8,NA,NA
"Falmouth",2017,3,"Grade 3","00960000","ELA",155,57,25,9,130,47,102,37,17,6,274,501.1,NA,NA
"Falmouth",2017,3,"Grade 3","00960000","MATH",113,41,14,5,99,36,129,47,32,12,274,496.5,NA,NA
"Farmington River Reg",2017,3,"Grade 3","06620000","ELA",6,38,0,0,6,38,10,63,0,0,16,497,NA,NA
"Farmington River Reg",2017,3,"Grade 3","06620000","MATH",7,44,1,6,6,38,8,50,1,6,16,500.3,NA,NA
"Fitchburg",2017,3,"Grade 3","00970000","ELA",151,35,25,6,126,29,217,50,68,16,436,493.5,NA,NA
"Fitchburg",2017,3,"Grade 3","00970000","MATH",171,39,31,7,140,32,179,41,87,20,437,494.3,NA,NA
"Foxborough",2017,3,"Grade 3","00990000","ELA",105,51,9,4,96,46,89,43,13,6,207,500,NA,NA
"Foxborough",2017,3,"Grade 3","00990000","MATH",123,60,13,6,110,53,71,34,12,6,206,504.8,NA,NA
"Foxborough Regional Charter (District)",2017,3,"Grade 3","04460000","ELA",53,47,7,6,46,41,57,51,2,2,112,499.9,NA,NA
"Foxborough Regional Charter (District)",2017,3,"Grade 3","04460000","MATH",46,41,5,4,41,37,58,52,8,7,112,496.4,NA,NA
"Framingham",2017,3,"Grade 3","01000000","ELA",253,33,33,4,220,29,360,48,143,19,756,491.3,NA,NA
"Framingham",2017,3,"Grade 3","01000000","MATH",288,38,39,5,249,33,293,39,177,23,758,491.7,NA,NA
"Franklin",2017,3,"Grade 3","01010000","ELA",231,63,52,14,179,49,116,32,17,5,364,506.2,NA,NA
"Franklin",2017,3,"Grade 3","01010000","MATH",240,66,42,12,198,54,98,27,26,7,364,506.9,NA,NA
"Freetown-Lakeville",2017,3,"Grade 3","06650000","ELA",126,61,10,5,116,56,67,32,14,7,207,502.8,NA,NA
"Freetown-Lakeville",2017,3,"Grade 3","06650000","MATH",137,66,26,12,111,53,55,26,17,8,209,506.2,NA,NA
"Gardner",2017,3,"Grade 3","01030000","ELA",60,32,3,2,57,30,99,52,31,16,190,490.3,NA,NA
"Gardner",2017,3,"Grade 3","01030000","MATH",45,24,3,2,42,22,89,47,56,29,190,483.2,NA,NA
"Gateway",2017,3,"Grade 3","06720000","ELA",26,48,4,7,22,41,27,50,1,2,54,499.9,NA,NA
"Gateway",2017,3,"Grade 3","06720000","MATH",25,46,3,6,22,41,26,48,3,6,54,497.2,NA,NA
"Georgetown",2017,3,"Grade 3","01050000","ELA",82,69,21,18,61,52,31,26,5,4,118,509.2,NA,NA
"Georgetown",2017,3,"Grade 3","01050000","MATH",79,67,12,10,67,57,32,27,7,6,118,507,NA,NA
"Gill-Montague",2017,3,"Grade 3","06740000","ELA",29,38,3,4,26,34,38,49,10,13,77,494.4,NA,NA
"Gill-Montague",2017,3,"Grade 3","06740000","MATH",23,30,2,3,21,27,33,43,21,27,77,487.1,NA,NA
"Gloucester",2017,3,"Grade 3","01070000","ELA",112,50,21,9,91,41,100,45,12,5,224,502.2,NA,NA
"Gloucester",2017,3,"Grade 3","01070000","MATH",106,47,14,6,92,41,98,44,20,9,224,499.1,NA,NA
"Grafton",2017,3,"Grade 3","01100000","ELA",157,66,38,16,119,50,70,30,10,4,237,508.5,NA,NA
"Grafton",2017,3,"Grade 3","01100000","MATH",157,66,23,10,134,56,64,27,17,7,238,506.4,NA,NA
"Granby",2017,3,"Grade 3","01110000","ELA",17,40,1,2,16,38,25,60,0,0,42,496.3,NA,NA
"Granby",2017,3,"Grade 3","01110000","MATH",15,36,1,2,14,33,24,57,3,7,42,494.7,NA,NA
"Greenfield",2017,3,"Grade 3","01140000","ELA",59,36,3,2,56,35,89,55,14,9,162,494.2,NA,NA
"Greenfield",2017,3,"Grade 3","01140000","MATH",50,31,5,3,45,28,78,48,35,21,163,489.6,NA,NA
"Greenfield Commonwealth Virtual District",2017,3,"Grade 3","39010000","ELA",17,33,3,6,14,27,24,47,10,20,51,488.9,NA,NA
"Greenfield Commonwealth Virtual District",2017,3,"Grade 3","39010000","MATH",11,22,1,2,10,20,26,53,12,24,49,482.9,NA,NA
"Groton-Dunstable",2017,3,"Grade 3","06730000","ELA",100,63,24,15,76,48,52,33,6,4,158,507,NA,NA
"Groton-Dunstable",2017,3,"Grade 3","06730000","MATH",105,67,16,10,89,57,45,29,6,4,156,507.9,NA,NA
"Hadley",2017,3,"Grade 3","01170000","ELA",19,42,5,11,14,31,23,51,3,7,45,498.8,NA,NA
"Hadley",2017,3,"Grade 3","01170000","MATH",12,27,0,0,12,27,24,53,9,20,45,489,NA,NA
"Halifax",2017,3,"Grade 3","01180000","ELA",43,48,5,6,38,42,40,44,7,8,90,499.7,NA,NA
"Halifax",2017,3,"Grade 3","01180000","MATH",55,61,8,9,47,52,28,31,7,8,90,502.4,NA,NA
"Hamilton-Wenham",2017,3,"Grade 3","06750000","ELA",84,64,22,17,62,47,47,36,1,1,132,508.9,NA,NA
"Hamilton-Wenham",2017,3,"Grade 3","06750000","MATH",90,68,15,11,75,57,40,30,2,2,132,508.8,NA,NA
"Hampden-Wilbraham",2017,3,"Grade 3","06800000","ELA",116,56,15,7,101,49,82,39,10,5,208,503.5,NA,NA
"Hampden-Wilbraham",2017,3,"Grade 3","06800000","MATH",109,53,3,1,106,51,88,43,10,5,207,500,NA,NA
"Hanover",2017,3,"Grade 3","01220000","ELA",114,66,20,11,94,54,54,31,6,3,174,505.9,NA,NA
"Hanover",2017,3,"Grade 3","01220000","MATH",112,64,11,6,101,58,51,29,11,6,174,503.3,NA,NA
"Harvard",2017,3,"Grade 3","01250000","ELA",50,64,7,9,43,55,25,32,3,4,78,505,NA,NA
"Harvard",2017,3,"Grade 3","01250000","MATH",54,69,9,12,45,58,21,27,3,4,78,507.6,NA,NA
"Hatfield",2017,3,"Grade 3","01270000","ELA",15,44,0,0,15,44,19,56,0,0,34,498.1,NA,NA
"Hatfield",2017,3,"Grade 3","01270000","MATH",13,38,0,0,13,38,18,53,3,9,34,491.2,NA,NA
"Haverhill",2017,3,"Grade 3","01280000","ELA",177,30,22,4,155,26,327,55,96,16,600,491.1,NA,NA
"Haverhill",2017,3,"Grade 3","01280000","MATH",198,33,28,5,170,28,292,49,108,18,598,491.8,NA,NA
"Hill View Montessori Charter Public (District)",2017,3,"Grade 3","04550000","ELA",12,35,0,0,12,35,21,62,1,3,34,492.8,NA,NA
"Hill View Montessori Charter Public (District)",2017,3,"Grade 3","04550000","MATH",11,32,1,3,10,29,19,56,4,12,34,491.7,NA,NA
"Hilltown Cooperative Charter Public (District)",2017,3,"Grade 3","04500000","ELA",10,48,1,5,9,43,10,48,1,5,21,500.4,NA,NA
"Hilltown Cooperative Charter Public (District)",2017,3,"Grade 3","04500000","MATH",11,52,0,0,11,52,10,48,0,0,21,500.3,NA,NA
"Hingham",2017,3,"Grade 3","01310000","ELA",232,64,58,16,174,48,120,33,12,3,364,509.1,NA,NA
"Hingham",2017,3,"Grade 3","01310000","MATH",254,70,38,10,216,59,97,27,13,4,364,509.7,NA,NA
"Holbrook",2017,3,"Grade 3","01330000","ELA",51,54,10,11,41,44,37,39,6,6,94,505.2,NA,NA
"Holbrook",2017,3,"Grade 3","01330000","MATH",56,60,6,6,50,53,26,28,12,13,94,503.2,NA,NA
"Holland",2017,3,"Grade 3","01350000","ELA",11,50,1,5,10,45,8,36,3,14,22,496.2,NA,NA
"Holland",2017,3,"Grade 3","01350000","MATH",11,50,1,5,10,45,9,41,2,9,22,497.6,NA,NA
"Holliston",2017,3,"Grade 3","01360000","ELA",146,63,31,13,115,50,70,30,14,6,230,507.2,NA,NA
"Holliston",2017,3,"Grade 3","01360000","MATH",126,55,19,8,107,47,89,39,15,7,230,503.4,NA,NA
"Holyoke",2017,3,"Grade 3","01370000","ELA",73,18,6,2,67,17,193,48,133,33,399,481.6,NA,NA
"Holyoke",2017,3,"Grade 3","01370000","MATH",48,12,0,0,48,12,156,38,202,50,406,473.1,NA,NA
"Holyoke Community Charter (District)",2017,3,"Grade 3","04530000","ELA",18,21,0,0,18,21,47,55,20,24,85,483,NA,NA
"Holyoke Community Charter (District)",2017,3,"Grade 3","04530000","MATH",17,20,0,0,17,20,48,56,20,24,85,484.7,NA,NA
"Hoosac Valley Regional",2017,3,"Grade 3","06030000","ELA",39,34,3,3,36,32,66,58,9,8,114,492.3,NA,NA
"Hoosac Valley Regional",2017,3,"Grade 3","06030000","MATH",38,34,1,1,37,33,56,50,19,17,113,488.7,NA,NA
"Hopedale",2017,3,"Grade 3","01380000","ELA",54,64,8,10,46,55,28,33,2,2,84,504.5,NA,NA
"Hopedale",2017,3,"Grade 3","01380000","MATH",47,56,6,7,41,49,32,38,5,6,84,501.9,NA,NA
"Hopkinton",2017,3,"Grade 3","01390000","ELA",204,84,68,28,136,56,36,15,4,2,244,518.2,NA,NA
"Hopkinton",2017,3,"Grade 3","01390000","MATH",210,86,63,26,147,60,28,11,6,2,244,518.9,NA,NA
"Hudson",2017,3,"Grade 3","01410000","ELA",92,42,10,5,82,38,104,48,21,10,217,497,NA,NA
"Hudson",2017,3,"Grade 3","01410000","MATH",132,61,18,8,114,53,72,33,13,6,217,504.4,NA,NA
"Hull",2017,3,"Grade 3","01420000","ELA",32,48,7,11,25,38,29,44,5,8,66,499.9,NA,NA
"Hull",2017,3,"Grade 3","01420000","MATH",35,53,5,8,30,45,25,38,6,9,66,501.7,NA,NA
"Ipswich",2017,3,"Grade 3","01440000","ELA",68,54,11,9,57,46,48,38,9,7,125,500.9,NA,NA
"Ipswich",2017,3,"Grade 3","01440000","MATH",83,66,7,6,76,60,32,25,11,9,126,503.5,NA,NA
"Kingston",2017,3,"Grade 3","01450000","ELA",78,54,13,9,65,45,60,42,6,4,144,502.1,NA,NA
"Kingston",2017,3,"Grade 3","01450000","MATH",90,63,12,8,78,54,42,29,12,8,144,503.9,NA,NA
"Lanesborough (non-op)",2017,3,"Grade 3","01480000","ELA",12,39,0,0,12,39,18,58,1,3,31,494.7,NA,NA
"Lanesborough (non-op)",2017,3,"Grade 3","01480000","MATH",7,23,0,0,7,23,18,58,6,19,31,485.7,NA,NA
"Lawrence",2017,3,"Grade 3","01490000","ELA",283,26,21,2,262,24,533,49,269,25,1085,486.2,NA,NA
"Lawrence",2017,3,"Grade 3","01490000","MATH",411,38,51,5,360,33,499,46,173,16,1083,493.5,NA,NA
"Lawrence Family Development Charter (District)",2017,3,"Grade 3","04540000","ELA",52,63,6,7,46,55,27,33,4,5,83,503.5,NA,NA
"Lawrence Family Development Charter (District)",2017,3,"Grade 3","04540000","MATH",53,64,7,8,46,55,28,34,2,2,83,505.8,NA,NA
"Learning First Charter Public School (District)",2017,3,"Grade 3","04860000","ELA",9,11,1,1,8,9,54,64,22,26,85,480.3,NA,NA
"Learning First Charter Public School (District)",2017,3,"Grade 3","04860000","MATH",7,8,0,0,7,8,34,40,44,52,85,470.6,NA,NA
"Lee",2017,3,"Grade 3","01500000","ELA",12,33,1,3,11,31,22,61,2,6,36,496.7,NA,NA
"Lee",2017,3,"Grade 3","01500000","MATH",14,39,3,8,11,31,16,44,6,17,36,497.8,NA,NA
"Leicester",2017,3,"Grade 3","01510000","ELA",52,44,6,5,46,39,54,46,11,9,117,495.9,NA,NA
"Leicester",2017,3,"Grade 3","01510000","MATH",43,37,3,3,40,34,51,44,23,20,117,491,NA,NA
"Lenox",2017,3,"Grade 3","01520000","ELA",33,63,7,13,26,50,17,33,2,4,52,507.1,NA,NA
"Lenox",2017,3,"Grade 3","01520000","MATH",43,81,6,11,37,70,9,17,1,2,53,512.8,NA,NA
"Leominster",2017,3,"Grade 3","01530000","ELA",176,38,6,1,170,37,235,51,54,12,465,494.7,NA,NA
"Leominster",2017,3,"Grade 3","01530000","MATH",222,48,25,5,197,42,187,40,55,12,464,498.5,NA,NA
"Leverett",2017,3,"Grade 3","01540000","ELA",7,47,0,0,7,47,8,53,0,0,15,497.2,NA,NA
"Leverett",2017,3,"Grade 3","01540000","MATH",11,73,0,0,11,73,3,20,1,7,15,508.5,NA,NA
"Lexington",2017,3,"Grade 3","01550000","ELA",390,71,107,19,283,51,143,26,17,3,550,511.2,NA,NA
"Lexington",2017,3,"Grade 3","01550000","MATH",407,74,111,20,296,54,120,22,25,5,552,512.3,NA,NA
"Lincoln",2017,3,"Grade 3","01570000","ELA",75,51,8,5,67,46,67,46,5,3,147,500.7,NA,NA
"Lincoln",2017,3,"Grade 3","01570000","MATH",91,63,20,14,71,49,47,32,7,5,145,506.3,NA,NA
"Littleton",2017,3,"Grade 3","01580000","ELA",51,38,2,2,49,37,81,61,1,1,133,496.7,NA,NA
"Littleton",2017,3,"Grade 3","01580000","MATH",59,44,6,5,53,40,69,52,5,4,133,499.5,NA,NA
"Longmeadow",2017,3,"Grade 3","01590000","ELA",157,67,45,19,112,48,66,28,11,5,234,510.3,NA,NA
"Longmeadow",2017,3,"Grade 3","01590000","MATH",163,70,29,12,134,57,64,27,7,3,234,509.9,NA,NA
"Lowell",2017,3,"Grade 3","01600000","ELA",530,44,98,8,432,35,515,42,173,14,1218,496.3,NA,NA
"Lowell",2017,3,"Grade 3","01600000","MATH",549,45,76,6,473,39,485,40,188,15,1222,496.8,NA,NA
"Lowell Community Charter Public (District)",2017,3,"Grade 3","04560000","ELA",30,32,5,5,25,27,60,64,4,4,94,494.3,NA,NA
"Lowell Community Charter Public (District)",2017,3,"Grade 3","04560000","MATH",43,46,9,10,34,36,40,43,11,12,94,498.3,NA,NA
"Ludlow",2017,3,"Grade 3","01610000","ELA",56,30,2,1,54,29,96,51,37,20,189,488.6,NA,NA
"Ludlow",2017,3,"Grade 3","01610000","MATH",55,29,0,0,55,29,96,50,40,21,191,487.2,NA,NA
"Lunenburg",2017,3,"Grade 3","01620000","ELA",51,39,4,3,47,36,75,57,6,5,132,496.6,NA,NA
"Lunenburg",2017,3,"Grade 3","01620000","MATH",72,55,3,2,69,52,51,39,9,7,132,500.5,NA,NA
"Lynn",2017,3,"Grade 3","01630000","ELA",401,30,46,3,355,26,677,50,268,20,1346,491.3,NA,NA
"Lynn",2017,3,"Grade 3","01630000","MATH",454,34,36,3,418,31,617,46,272,20,1343,492.2,NA,NA
"Lynnfield",2017,3,"Grade 3","01640000","ELA",137,85,51,32,86,53,23,14,1,1,161,520.3,NA,NA
"Lynnfield",2017,3,"Grade 3","01640000","MATH",147,91,43,27,104,65,11,7,3,2,161,521.1,NA,NA
"MATCH Charter Public School (District)",2017,3,"Grade 3","04690000","ELA",26,36,0,0,26,36,40,56,6,8,72,492.7,NA,NA
"MATCH Charter Public School (District)",2017,3,"Grade 3","04690000","MATH",30,42,4,6,26,36,37,51,5,7,72,497.2,NA,NA
"Malden",2017,3,"Grade 3","01650000","ELA",236,49,24,5,212,44,201,42,45,9,482,498.4,NA,NA
"Malden",2017,3,"Grade 3","01650000","MATH",218,45,27,6,191,39,196,40,70,14,484,496.2,NA,NA
"Manchester Essex Regional",2017,3,"Grade 3","06980000","ELA",57,52,17,15,40,36,51,46,2,2,110,503.8,NA,NA
"Manchester Essex Regional",2017,3,"Grade 3","06980000","MATH",67,61,10,9,57,52,35,32,8,7,110,502.9,NA,NA
"Mansfield",2017,3,"Grade 3","01670000","ELA",148,54,27,10,121,44,111,40,16,6,275,502.9,NA,NA
"Mansfield",2017,3,"Grade 3","01670000","MATH",160,58,32,12,128,46,101,37,15,5,276,505.7,NA,NA
"Marblehead",2017,3,"Grade 3","01680000","ELA",140,63,27,12,113,51,70,31,13,6,223,507.8,NA,NA
"Marblehead",2017,3,"Grade 3","01680000","MATH",119,53,11,5,108,48,93,42,12,5,224,501.7,NA,NA
"Marion",2017,3,"Grade 3","01690000","ELA",43,69,14,23,29,47,16,26,3,5,62,510.8,NA,NA
"Marion",2017,3,"Grade 3","01690000","MATH",44,71,15,24,29,47,17,27,1,2,62,512.4,NA,NA
"Marlborough",2017,3,"Grade 3","01700000","ELA",173,44,30,8,143,36,178,45,43,11,394,496,NA,NA
